Row 1: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 32: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 33: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 34: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 35: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 36: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 37: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 38: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 39: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 40: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 41: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 42: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 43: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 44: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number, emergencyContactPhone: Expected string, received number
Row 45: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 46: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 47: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 48: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 49: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 50: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 51: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 52: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 53: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 54: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 55: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 56: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 57: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
